11:35:05,11:36:06,SymbolsJewishMenorah
11:37:23,11:38:32,EntranceReubenHecht
11:38:37,11:39:17,SymbolsJewishMenorah
11:39:47,11:40:04,JerusalemPhoto
11:40:46,11:40:48,JerusalemPhoto
11:41:32,11:41:52,MaterialCultures
11:41:56,11:42:02,Phoenicians
11:42:18,11:42:21,CraftsAndArts
11:42:31,11:43:18,ReligionAndCult
11:43:55,11:44:14,UpperFloorEntrance
11:44:14,11:44:53,BurialTradition2
11:45:20,11:45:20,ImportedPottery
11:45:46,11:46:01,GlassOvenVessels
11:46:10,11:46:12,MaterialCultures
11:46:30,11:46:31,UpperFloorEntrance

presentations 
11:43:55,11:44:14,UpperFloorEntrance,304,User
11:51:15,11:51:43,UpperFloorEntrance,304,User

events 
