13:30:06,13:30:27,SymbolsJewishMenorah
13:30:49,13:30:51,JerusalemPhoto
13:31:19,13:31:19,JerusalemPhoto
13:31:24,13:31:43,PersianCult
13:33:03,13:33:05,PersianCult
13:33:55,13:33:56,PersianCult
13:34:23,13:34:30,MaterialCultures
13:34:48,13:36:54,WoodenTools
13:36:54,13:37:46,ImportedPottery
13:37:46,13:38:31,PhoenicianWriting1
13:38:31,13:38:54,WoodenTools
13:38:54,13:39:55,BurialTradition2
13:40:40,13:40:41,WoodenTools
13:41:14,13:41:15,ImportedPottery
13:41:37,13:42:31,BuildingMethodsAndFacilities
13:42:31,13:42:41,EverydayPottery
13:42:41,13:43:09,BuildingMethodsAndFacilities
13:43:41,13:44:11,PhoenicianWriting1
13:46:25,13:46:27,BuildingMethodsAndFacilities
13:47:01,13:47:51,ShipBack
13:47:51,13:47:56,GlassOvenVessels
13:47:56,13:49:53,ShipBack
13:49:53,13:50:02,EntranceGallileeRebellion
13:50:02,13:52:14,ShipBack
13:52:40,13:55:59,ShipFront
13:36:20,13:37:20,ImportedPottery
13:40:13,13:41:13,BurialTradition2
13:55:59,14:01:38,ShipFront
14:01:53,14:02:29,ShipEntrance
14:03:01,14:03:05,ShipFront
14:03:21,14:03:41,Pottery
14:03:48,14:03:49,MaritimeArcheology

presentations 
13:34:48,13:35:42,WoodenTools,188,System
13:36:54,13:37:46,ImportedPottery,39,System
13:37:50,13:38:31,PhoenicianWriting1,43,System
13:38:54,13:39:55,BurialTradition2,19,System
13:41:37,13:42:31,BuildingMethodsAndFacilities,15,System
13:42:41,13:43:09,BuildingMethodsAndFacilities,13,User
13:47:01,13:47:51,ShipBack,73,System
13:47:56,13:49:07,ShipBack,75,System
13:49:14,13:49:53,ShipBack,76,System
13:50:02,13:51:01,ShipBack,67,System
13:51:14,13:52:14,ShipBack,71,System
13:52:40,13:53:34,ShipFront,55,System
13:53:51,13:54:40,ShipFront,126,System
13:54:57,13:55:59,ShipFront,59,System
13:36:20,13:37:20,ImportedPottery,38,User
13:40:13,13:41:13,BurialTradition2,25,User

events 
