distance,duration
0.0,20000
2.302172886644268,43000
2.302172886644268,144000
2.302172886644268,47000
0.0,158000
5.058903043150758,107000
5.058903043150758,6000
5.058903043150758,5000
2.7518175811634027,40000
0.0,45000
0.0,9000
6.363961030678928,7000
5.852349955359813,54000
5.830951894845301,6000
5.830951894845301,5000
2.8653097563788803,55000
2.8653097563788803,8000
0.0,41000
1.7204650534085253,5000
0.0,13000
1.5,111000
1.5,41000
1.5,13000
1.4866068747318506,86000
1.4866068747318506,16000
1.2083045973594573,5000
2.0615528128088303,11000
1.5,18000
2.23606797749979,18000
4.031128874149275,3000
1.5,6000
6.020797289396148,15000
8.139410298049853,5000
1.5811388300841898,28000
5.491812087098393,23000
5.491812087098393,7000
1.5811388300841898,7000
1.5811388300841898,23000
2.23606797749979,38000
1.5811388300841898,10000
9.013878188659973,17000
5.89406481131655,38000
0.0,13000
14.00142849854971,11000
12.658988901172163,8000
3.905124837953327,47000
3.905124837953327,5000
0.0,20000
2.302172886644268,94000
0.0,64000
5.058903043150758,107000
5.058903043150758,1000
5.058903043150758,0
2.7518175811634027,25000
0.0,37000
0.0,0
6.363961030678928,0
5.852349955359813,54000
5.830951894845301,82000
5.830951894845301,1000
2.8653097563788803,55000
2.8653097563788803,13000
1.7204650534085253,47000
1.7204650534085253,41000
1.7204650534085253,0
0.0,8000
1.5,107000
1.5,37000
1.5,9000
1.4866068747318506,82000
1.4866068747318506,12000
1.2083045973594573,1000
2.0615528128088303,8000
1.5,14000
2.23606797749979,13000
4.031128874149275,0
1.5,2000
6.020797289396148,11000
8.139410298049853,0
1.5811388300841898,22000
5.491812087098393,19000
5.491812087098393,3000
1.5811388300841898,5000
1.5811388300841898,19000
2.23606797749979,35000
1.5811388300841898,2000
9.013878188659973,11000
5.89406481131655,34000
0.0,9000
14.00142849854971,6000
12.658988901172163,1000
3.905124837953327,43000
3.905124837953327,2000
0.0,154000
2.302172886644268,286000
0.0,4000
2.308679276123039,3000
0.0,1000
2.7518175811634027,59000
5.058903043150758,99000
2.308679276123039,9000
4.459820624195552,9000
2.302172886644268,3000
2.308679276123039,1000
2.7518175811634027,93000
4.921635906891122,0
5.852349955359813,10000
5.830951894845301,4000
5.830951894845301,143000
1.7204650534085253,1000
6.705221845696085,53000
6.705221845696085,4000
6.705221845696085,312000
4.527692569068709,82000
4.527692569068709,0
6.419501538281614,0
2.1470910553583886,47000
8.32165848854662,66000
9.5524865872714,7000
9.5524865872714,59000
9.5524865872714,7000
2.692582403567252,0
2.692582403567252,1000
8.139410298049853,1000
1.5811388300841898,3000
2.1213203435596424,2000
2.1213203435596424,1000
0.0,53000
0.0,52000
10.547511554864494,2000
2.1213203435596424,11000
9.17877987534291,3000
3.5,22000
3.905124837953327,13000
3.905124837953327,3000
3.5,0
0.0,11000
3.1622776601683795,1000
1.6552945357246849,1000
0.0,7000
0.0,66000
2.308679276123039,17000
2.7518175811634027,29000
0.0,1000
4.921635906891122,23000
5.852349955359813,26000
0.0,49000
3.2015621187164243,7000
1.2369316876852983,39000
2.4351591323771844,1000
1.5,12000
4.94064773081425,71000
6.103277807866851,1000
2.0,10000
5.830951894845301,0
4.031128874149275,84000
2.692582403567252,54000
4.301162633521313,76000
4.301162633521313,52000
9.5524865872714,60000
0.0,7000
1.5811388300841898,13000
1.5811388300841898,65000
2.23606797749979,16000
2.23606797749979,78000
5.491812087098393,71000
5.491812087098393,15000
5.491812087098393,63000
5.491812087098393,54000
5.4230987451825,0
1.5,15000
0.0,9000
0.0,16000
0.0,0
17.748521065147933,56000
10.688779163215974,20000
9.013878188659973,3000
2.1213203435596424,28000
3.2062439083762797,7000
1.3928388277184118,3000
0.0,61000
7.7,6000
3.5,27000
3.905124837953327,7000
